162555,3-4,月1,生化学 II,広瀬 豊,2,専門教育科目(必修) 生物系薬学,2,杉 大講義室,第1週  脂質と生体膜\\n第2週  脂質の消化.吸収と輸送、脂肪酸のβ酸化\\n第3週  脂肪酸の生合成と脂肪酸代謝の調節機構\\n第4週  コレステロール代謝\\n第5週  リポタンパク質代謝と疾患\\n第6週  アミノ酸代謝と尿素サイクル\\n第7週  アミノ酸代謝\\n第8週  窒素固定とアミノ酸生合成\\n第9週  ヌクレオチド代謝\\n第10週  遺伝子の基本構造と高次構造。クロマチンとDNAの構造。\\n第11週  遺伝子の複製・変異・修復\\n第12週  遺伝子の転写\\n第13週  遺伝子発現調節の意義、mRNAプロセシング(1)\\n第14週  mRNAプロセシング(2)\\n第15週  翻訳,期末試験(100%),薬学新コアカリキュラムのC-4-2-1); 2)、C-6-1-1)、C-6-4-1)、C-6-3-3)、C-6-4-1); 2) C-6-5-1); 2)に対応している。\\nまた、薬学旧コアカリキュラムのC4「人体の成り立ちと生体機能の調節」およびC6「生命現象の基礎」に対応している。\\n大学独自科目
162716,3-4,月1,分子遺伝動物学,高雄 啓三,3,専門教育科目(選択),2.0,杉 403講義室,スライド、配布資料に基づく講義を行う。\\n一部の講義は外部講師を招き、最先端の研究について学ぶ。\\n1回目	序論;  動物実験に関する法律;  倫理;  福祉(高雄)\\n2回目	遺伝子改変マウスを用いた行動解析の基本 (高雄)\\n3回目	実験動物の飼育管理・品質管理(動物実験施設 藤井一希)\\n4回目	神経科学研究におけるモデル動物としてのニホンザル(医 システム情動 瀬戸川剛)\\n5回目	動物実験に関わるカルタヘナ法 (遺伝子実験施設 田渕圭章)\\n6回目	動物実験における薬剤の投与経路・採血方法・麻酔 (遺伝子実験施設 田渕圭章)\\n7回目	研究例紹介:骨形成とメカニカルストレス (遺伝子実験施設 田渕圭章)\\n8回目	AAVベクターを用いた疾患モデルマーモセットの作出と遺伝子治療研究への応用(群馬大学 平井宏和)\\n9回目	研究例紹介:マウスの発生と発生工学的手法の利用(アイソトープ実験施設 安村美里)\\n10回目	研究例紹介:非臨床試験に向けたin silico解析(薬 医薬AI・データ科学講座 菅野亜紀)\\n11回目	研究例紹介:分子遺伝学ツールの生体機能研究への応用(福島県立医科大学 小林和人)\\n12回目	研究例紹介:遺伝子改変マウスを活用した神経・精神疾患研究(高雄)\\n13回目	毒性学における動物実験(分子・構造解析施設 平野哲史)\\n14回目	研究例紹介:腸管免疫とエピゲノム(富山県立大学 古澤之裕)\\n15回目	まとめと理解度テスト(高雄),学修意欲(約20%)、レポート(約40%)、筆記試験(約40%)により成績を付け、合否を判定する。,将来、創薬や医薬学の基礎研究を志す者にはぜひ積極的な参加を望みます。\\n臨床の現場に立とうとする者にも動物を用いた研究の論理を知り、将来に役立てて欲しい。
162887,3-4,月4,製薬企業と創薬,水口 峰之,3,専門教育科目(必修) 基盤教育,1,杉 403講義室,● 製薬企業で活躍する研究者(実務経験者)の講義を実施する(5回)。\\n各回の講師や内容は変更されることがありますので; 授業計画詳細情報および授業中のアナウンスで確認してください。\\n● 配属研究室の教員の指導の下で、5回の講義から興味を引かれたトピックを取りあげ、調査研究を行いレポートにまとめる。\\nレポート内容について、指導教員にプレゼンテーションしディスカッションする。\\n● 詳細なスケジュールやレポート提出については、別途指示する。\\n(授業計画詳細情報に記載の日程から変更される場合があるので、最新の学生掲示を確認すること),講義への意欲; 態度と提出レポートに基づき、教務委員会が成績評価を行う。\\nレポートおよび受講態度など取り組み姿勢により、総合的に評価する(100%)。\\nレポートには、題材とした元の講義を明記すること。記述内容の正確さ、調査の丁寧さや深さが、評価の目安となる。\\n「達成目標」に掲げた項目を達成しているものを60点以上、「達成目標」に掲げた項目を達成した上で、良好な成果を収めているものを70点以上、優れた成果を収めているものを80点以上、特に優れた成果を収めているものを90点以上とする。,なお、本講義は「 公益財団法人 田村科学技術振興財団」よりご支援を賜っております。\\n実務経験教育科目、問題解決型学習
168002,3-4,月2,東西医薬学II,条 美智子,3,専門教育科目(自由),2,杉 403講義室,1.  東洋医薬学の基本概念(担当:条)\\n2.  漢方薬の成立と剤型(担当:条)\\n3.  婦人科疾患の漢方治療(担当:条)\\n4.  神経疾患の漢方治療(担当:条)\\n5.  精神神経疾患の漢方治療(担当:条)\\n6.  消化器疾患の漢方治療(担当:条)\\n7.  腎泌尿器疾患の漢方治療(担当:条)\\n8.  肝胆膵疾患の漢方治療(担当:条)\\n9.  疼痛性疾患の漢方治療(担当:条)\\n10. 呼吸器疾患の漢方治療(担当:条)\\n11. 耳鼻咽喉科疾患と漢方治療(担当:条)\\n12. 皮膚疾患と漢方治療(担当:条)\\n13. がん治療における漢方治療の役割(担当:条)\\n14. 漢方薬の副作用(担当:条)\\n15. 伝統医学における医療倫理(担当:条),授業毎に実施する小テストにより成績評価を行う(100%)。,本科目は、「卓越薬学教育プログラム和漢薬コース」履修対象科目です。\\n本教科はコアカリキュラムC 基礎薬学 C-5 薬学の中の生薬学・天然物化学  C-5-1 生薬学・天然物化学の基礎、およびD 医療薬学 D-2 薬物治療につながる薬理・病態 D-2-19 漢方療法に対応し、薬剤師国家試験出題基準VII実務 薬剤師業務 現代医療の中の生薬・漢方薬に対応している。\\nコース生以外の履修も歓迎します。
161503,1-2,火1,有機化学 I,矢倉 隆之,2,専門教育科目(必修) 化学系薬学,2,杉 303講義室,第1回:ハロゲン化アルキルの構造・命名・反応性\\n第2回:ハロゲン化アルキル反応1\\n第3回:ハロゲン化アルキル反応2\\n第4回:ハロゲン化アルキル反応3\\n第5回:ハロゲン化アルキル反応4\\n第6回:ハロゲン化アルキル反応5(本学独自教育項目を含む)\\n第7回:置換反応および脱離反応の合成化学への応用(本学独自教育項目を含む)\\n第8回:第1回~7回のまとめ(演習; PBL)\\n第9回:アルコールの反応1\\n第10回:アルコールの反応2; エーテルの反応\\n第11回:エポキシド; アミンおよびチオール類の反応(本学独自教育項目を含む)\\n第12回:カルボン酸とカルボン酸誘導体の反応1\\n第13回:カルボン酸とカルボン酸誘導体の反応2\\n第14回:カルボン酸とカルボン酸誘導体の反応3(本学独自教育項目を含む)\\n第15回:第9回~14回のまとめ(演習; PBL)\\n期末試験\\n毎回、小テストとそれに基づく問題点を挙げ、議論する。\\n第8回および第15回は演習問題を基に学生からの疑問点を抽出して、それについて議論して解説する。\\n講義日程等はMoodleで確認してください。,演習成績(2回)約50%と期末試験(全範囲)成績約50%の総合点(100点満点)で評価する。演習; 試験では化学用語の習得と有機反応の理解を問う。総合点が60点以上で合格とする。演習や試験問題の難易度は上に示した問題集レベルから教科書の演習問題のレベルとする。問題集レベルをマスターできていれば合格レベルとする。,本教科は; コアカリキュラムC3化学物質の性質と反応(3)官能基の性質と反応の一部に対応する。授業計画詳細を参照。\\n大学独自項目; 問題解決型学習を含む。
161559,1-2,火1,衛生薬学I,櫻井 宏明,3,専門教育科目(必修) 衛生薬学,1,杉 大講義室,講義は以下の内容に分け、各教員がそれぞれの専門分野を分担する。\\n第1~4回 衛生薬学の概論および環境衛生の基礎(櫻井)\\n第5~8回 食品衛生の基礎(伊原),・期末試験(健康と環境)を行い、到達度を評価する。配点は、環境(50%)、および健康(50%)とする。,■対応するコアカリキュラム\\n新カリ:E-3-1、E-3-2\\n旧カリ:D1-(3)-1-1; 2; 3、D2-(1)-4-1; 2; 3; 4
161614,1-2,火1,生物薬剤学II,赤沼 伸乙,3,専門教育科目(必修) 医療薬学,1,杉 大講義室,第1週 ADME概論・消化管吸収(1)\\n第2週 消化管吸収(2)・消化管以外からの吸収\\n第3週 体内分布(1)\\n第4週 体内分布(2)\\n第5週 薬物代謝\\n第6週 排泄\\n第7週 薬物の相互作用\\n第8週 まとめ,期末試験により合否を判定する(100%)。この試験を通じて、「達成目標」に掲げた項目を達成していると判断された場合は60点以上を与える。「達成目標」内の項目を達成した上で、良好な成果を収めているものを70点以上、優れた成果を収めているものを80点以上、特に優れた成果を収めているものを90点以上と評する。,本教科は、令和4年度改定薬学教育モデル・コア・カリキュラム(R4コアカリキュラム) としてはD_医療薬学におけるD-4-1に該当する。なお、H25コアカリキュラムではE1の(1)と(6)、E3の(3)、E4の(1)に対応している。本授業内では問題解決能力を醸成するための教育を実施する。
161709,1-2,火2,合成化学,松谷 裕二,3,専門教育科目(選択),2,杉 大講義室,<全て講義形式>\\n第1回:逆合成と合成(確認テスト)\\n第2-3回:有機反応の選択性(確認テスト)\\n第4回:保護基の利用と脱保護(確認テスト)\\n第5-7回:医薬品の合成計画と実際の合成例(確認テスト)\\n第8回:中間試験および解説\\n第9-10回:医薬品の基本骨格の構築(確認テスト)\\n第11-14回:不斉合成、\\n第15回:プロセス化学を志向した実用的合成(確認テスト)\\n第16回:期末試験,中間試験(50%)および期末試験(50%)、2回の筆記試験により成績評価を行う。100点満点で、60点以上を合格とする。,本科目は、コアカリキュラムのC3-(1); (2); (3)の修得を前提とし、それらを基盤としたアドバンスト教育に位置付けられる。また、問題解決型学習を含む。
162615,1-2,火1,病態薬物治療学 III,和田 努,4,専門教育科目(必修) 医療薬学,2,杉 402講義室,講義を中心とし、必要に応じてプリントとスライド等を使用する。\\n1. 症候と臨床検査値(1)\\n2. 症候と臨床検査値(2)\\n3. 内分泌疾患(1)\\n4. 内分泌疾患(2)\\n5. アレルギー・免疫疾患(1)\\n6. アレルギー・免疫疾患(2)\\n7. アレルギー・免疫疾患(3)\\n8. 呼吸器疾患(1)\\n9. 呼吸器疾患(2)\\n10. 自律神経系薬\\n11. 循環器疾患(1)\\n12. 循環器疾患(2)\\n13. 神経・筋疾患(3)\\n14. 抗炎症薬\\n15. まとめ,学習意欲(積極的な受講態度、質疑への参加、小テストなど)(10%)と期末試験(90%)により、総合的に成績を判定する。,場合により講師と講義内容が変更になることがある。\\n本科目は、コアカリキュラムE1薬の作用と体の変化(2)身体の病的変化を知る、E2薬理・病態・薬物治療(1)神経系の疾患と薬、(2)免疫・炎症・アレルギーの疾患と薬、(3)循環器系の疾患と薬、(4)呼吸器系の疾患と薬、(5)内分泌系の疾患と薬、(7)悪性新生物(がん)と薬の一部に対応している(授業計画詳細を参照)。
162616,1-2,火2,病態解析学,久米 利明,4,専門教育科目(必修) 医療薬学,2,杉 402講義室,1;  臨床ビッグデータを創薬研究に応用する新手法(久米)\\n2;  腫瘍と病態解析(横山)\\n3;  AIを用いた癌に関わる画像解析や方法論 (尾嶋)\\n4;  病態と創薬のin silico解析(1)(菅野)\\n5;  病態と創薬のin silico解析(2)(高岡)\\n6;  臨床研究に関わるビッグデータの概要と研究例(染谷)\\n7;  ラマン分光法を用いたがん進行解析及び未病検出技術開発(竹谷)\\n8;  光を用いた細胞機能分析と未病研究への応用(橋本)\\n9;  生体蛍光イメージング技術を利用した病態モデルの解析(大嶋)\\n10;  肥満関連疾患の未病研究(和田)\\n11;  感染症の数理モデル(原)\\n12;  発がん過程の数理モデル(原)\\n13;  タンパク構造データの医薬への活用(水口)\\n14;  老化研究の最前線(中川)\\n15;  講義のまとめ(久米),各講義ごとにレポート、小テストを実施し、評価する(100%)。\\n評価基準:講義内容を正しく理解し; 要求されている課題に解答できているかを評価。\\n「講義内容を正しく理解し; 要求されている課題に解答できているか」の評価は、「達成目標」に掲げた項目を達成しているものを60点以上、「達成目標」に掲げた項目を達成した上で、良好な成果を収めているものを70点以上、優れた成果を収めているものを80点以上、特に優れた成果を収めているものを90点以上とする。,
